 County,Population,Land_Area(Km2),Population_Density ,Male_Population,Female_Population,Intersex_population ,Number_of_Households,Average_Household_size
Mombasa,"1,208,333",219.9,"5,495",610257,598046,30,378422,3.1
Kwale,"866,820","8,267.10",105,425121,441681,18,173176,5
Kilifi,"1,453,787","12,539.70",116,704089,749673,25,298472,4.8
Tana River,"315,943","37,950.50",8,158550,157391,2,68242,4.6
Lamu,"143,920","6,253.30",23,76103,67813,4,37963,3.7
Taita Taveta,"340,671","17,152.00",20,173337,167327,7,96429,3.5
Garissa,"841,353","44,736.00",19,458975,382344,34,141394,5.9
Wajir,"781,263","56,773.10",14,415374,365840,49,127932,6.1
Mandera,"867,457","25,939.80",33,434976,432444,37,125763,6.9
Marsabit,"459,785","70,944.10",6,243548,216219,18,77495,5.8
Isiolo,"268,002","25,350.60",11,139510,128483,9,58072,4.6
Meru,"1,545,714","7,006.30",221,767698,777975,41,426360,3.6
Tharaka-Nithi,"393,177","2,564.40",153,193764,199406,7,109860,3.6
Embu,"608,599","2,820.70",216,304208,304367,24,182743,3.3
Kitui,"1,136,187","30,429.50",37,549003,587151,33,262942,4.3
Machakos,"1,421,932","6,042.70",235,710707,711191,34,402466,3.5
Makueni,"987,653","8,169.80",121,489691,497942,20,244669,4
Nyandarua,"638,289","3,285.70",194,315022,323247,20,179686,3.5
Nyeri,"759,164","3,325.00",228,374288,384845,31,248050,3
Kirinyaga,"610,411","1,478.30",413,302011,308369,31,204188,3
Murang'a,"1,056,640","2,524.20",419,523940,532669,31,318105,3.3
Kiambu,"2,417,735","2,538.60",952,1187146,1230454,135,795241,3
Turkana,"926,976","68,232.90",14,478087,448868,21,164519,5.6
West Pokot,"621,241","9,123.20",68,307013,314213,15,116182,5.3
Samburu,"310,327","21,065.10",15,156774,153546,7,65910,4.7
Trans Nzoia,"990,341","2,495.20",397,489107,501206,28,223808,4.4
Uasin Gishu,"1,163,186","3,392.20",343,580269,582889,28,304943,3.8
Elgeyo-Marakwet,"454,480","3,032.00",150,227317,227151,12,99861,4.5
Nandi,"885,711","2,855.80",310,441259,444430,22,199426,4.4
Baringo,"666,763","10,976.40",61,336322,330428,13,142518,4.7
Laikipia,"518,560","9,532.20",54,259440,259102,18,149271,3.4
Nakuru,"2,162,202","7,462.40",290,1077272,1084835,95,616046,3.5
Narok,"1,157,873","17,950.30",65,579042,578805,26,241125,4.8
Kajiado,"1,117,840","21,871.10",51,557098,560704,38,316179,3.5
Kericho,"901,777","2,436.10",370,450741,451008,28,206036,4.4
Bomet,"875,689","2,530.90",346,434287,441379,23,187641,4.7
Kakamega,"1,867,579","3,020.00",618,897133,970406,40,433207,4.3
Vihiga,"590,013",563.8,"1,047",283678,306323,12,143365,4.1
Bungoma,"1,670,570","3,023.90",552,812146,858389,35,358796,4.6
Busia,"893,681","1,696.30",527,426252,467401,28,198152,4.5
Siaya,"993,183","2,529.80",393,471669,521496,18,250698,3.9
Kisumu,"1,155,574","2,085.40",554,560942,594609,23,300745,3.8
Homa Bay,"1,131,950","3,152.50",359,539560,592367,23,262036,4.3
Migori,"1,116,436","2,613.50",427,536187,580214,35,240168,4.6
Kisii,"1,266,860","1,323.00",958,605784,661038,38,308054,4.1
Nyamira,"605,576",897.3,675,290907,314656,13,150669,4
Nairobi ,"4,397,073",703.9,"6,247",2192452,2204376,245,1506888,2.9
